"Metropolitana","Metropolitana","Región Metropolitana","Región de Santiago"
"Arica y Parinacota","Arica y Parinacota","Región de Arica y Parinacota","Región de Arica","Región Arica","Parinacota"
"Tarapacá","Tarapacá","Región de Tarapacá","Tarapaca"
"Antofagasta","Región de Antofagasta"
"Atacama","Atacama","Región de Atacama"
"Coquimbo","Región de Coquimbo","Región Coquimbo"
"Valparaíso","Región de Valparaíso","Región Valparaíso"
"O'Higgins","Región de O'Higgins","Región de OHiggins"
"Maule","Región del Maule"
"Ñuble","Ñuble","Región de Ñuble"
"Biobío","Biobío","Región del Biobío","Bio bio","Bio bío"
"La Araucanía","La Araucanía","Región de La Araucanía","Región La Araucanía","La Araucania","Region de La Araucania"
"Los Ríos","Los Ríos","Región de Los Ríos"
"Los Lagos","Región de Los Lagos"
"Aysén","Región de Aysén","Región de Aisén"
"Magallanes","Magallanes","Región de Magallanes","Región de Magallanes y la Antártica","Región de Magallanes y la Antártica Chilena"
